catalogid,id,name,categories,mfgid,manufacturer,distributor,cost,price,price2,price3,saleprice,onsale,stock,stock_alert,display_stock,weight,minimumorder,maximumorder,date_created,description,extended_description,keywords,sorting,thumbnail,image1,image2,image3,image4,realmedia,related,accessories,shipcost,imagecaption1,imagecaption2,imagecaption3,imagecaption4,title,metatags,displaytext,eproduct_password,eproduct_random,eproduct_expire,eproduct_path,eproduct_serial,eproduct_instructions,homespecial,categoryspecial,hide,free_shipping,nontax,notforsale,giftcertificate,userid,last_update,extra_field_1,extra_field_2,extra_field_3,extra_field_4,extra_field_5,extra_field_6,extra_field_7,extra_field_8,extra_field_9,extra_field_10,extra_field_11,extra_field_12,extra_field_13,usecatoptions,qtyoptions,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,hide_1,hide_2,hide_3,hide_4,hide_5,hide_6,hide_7,hide_8,hide_9,hide_10,minorderpkg,listing_displaytype,show_out_stock,pricing_groupopt,qtydiscount_opt,loginlevel,redirectto,accessgroup,self_ship,tax_code,eproduct_reuseserial,nonsearchable,instock_message,outofstock_message,backorder_message,height,width,depth,reward_points,reward_disable,reward_redeem,filename,fractional_qty,gtin,canonical_url,link
24,AC-BNC-59,BNC Crimp Connector for RG-59 Coaxial cable,Accessories/Connectors,AC-BNC-59,,,0,0.95,0.95,0,0.95,0,495,0,,0.02,1,0,3/23/2015,,"<div class=desc> 			<h2>Description</h2> 			<p>&nbsp;&nbsp;&nbsp;This BNC&nbsp;crimp connected is used to terminate RG-59 coaxial cable with a BNC&nbsp;end to use with security cameras.  The 2-piece crimp connector works with any standard RG-59 crimp tool to make a secure connection for your security camera installation.</p> 		</div>",,0,assets/images/products/accessories/ac-bnc/ac-bnc_2_400x335_thumbnail.jpg,assets/images/products/accessories/AC-BNC/AC-BNC_2_400x335.jpg,,,,,,,0,BNC 2 Piece Crimp Connector for RG-59 Coaxial cables,,,,BNC Crimp Connector for RG-59 Coaxial Cable - Used for CCTV cameras,"<META NAME=""DESCRIPTION"" CONTENT=""BNC Crimp Style Connectors make it easy to build your own CCTV camera cables.  These connectors work with RG-59 Coaxial Cable""> <META NAME=""ABSTRACT"" CONTENT=""Crimp connectors to build CCTV camera cables for analog security cams""> <META NAME=""KEYWORDS"" CONTENT=""AC-BNC-59, Crimp Connector, bnc, RG-59, coaxial, crimp""> ",,,0,0,,0,,0,0,0,0,0,0,0,Michael,1/12/2016 15:26,,,,,,,,,,,,,,0,,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,0,,0,0,Orders over $200 Ship FREE!,,,0,0,0,0,0,0,bnc-crimp-connector-rg59,0,,,
25,AC-BNC-T59,BNC TWIST-ON Connector for RG-59 Coaxial cable,Accessories/Connectors,AC-BNC-T59,,,0,0.95,0.95,0,0.95,0,423,0,,0.04,1,0,3/23/2015,,"<div class=""desc""> 			<h2>Description</h2> 			<p>&nbsp;&nbsp;&nbsp;The AC-BNC-T59 is a twist-on style BNC&nbsp;connector for RG-59 coaxial and siamesed cables to terminate it for use with security cameras and HD-SDI&nbsp;Cameras.  The Twist-on style connectors require no special tools at all, they simply twist on to the stripped coax cable.  </p> 			<p>   Since these connectors do not get crimped or compressed during installation, they can be reused by simply twisting them off and then twisting them back on again.</p> 		</div> ",,0,assets/images/products/accessories/ac-bnc-t59/acbnct59_1_400x373_thumbnail.jpg,assets/images/products/Accessories/AC-BNC-T59/ACBNCT59_1_400x373.jpg,,,,,,,0,BNC Twist on Connector for RG-59 Coaxial Cable (Easy to Install),,,,Twist-on BNC connector for RG-59 Coaxial Cable - for Analog CCTV cameras,"<META NAME=""DESCRIPTION"" CONTENT=""Twist-On reusable BNC connectors let you easily build CCTV analog cables with no tools.  These connectors are easy to use and great for video""> <META NAME=""ABSTRACT"" CONTENT=""Twist-on bnc connectors let you build your security camera cables""> <META NAME=""KEYWORDS"" CONTENT=""twist on, bnc, cctv connectors, rg-59, coaxial, AC-BNC-T59""> ",,,0,0,,0,,0,0,0,0,0,0,0,Michael,3/21/2022 11:59,,,,,,,,,,,,,,0,,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,0,,0,0,Orders over $200 Ship FREE!,,,0,0,0,0,0,0,bnc-twist-connector-rg59,0,,,
26,AW-21,2.1mm Female CCTV Barrel power connector w/terminal block,Accessories/Connectors,AW-21,,,0,1.5,1.5,0,1.5,0,486,0,,0.1,1,0,3/23/2015,,"<div class=desc> 			<h2>Description</h2> 			<p>&nbsp;&nbsp;&nbsp;The AW-21 2.1mm Barrel power connector is used to terminate the power wires from a bulk spool to allow connection to a standard security camera power input.  One of these connectors should be used for each camera when bulk RG-59 siamese power/video cable is used.</p> 			<p>    These connectors are also employed when using a multi-camera power box with pre-made cables, this connector will attach to the power box, then plug into the pre-made power/video cables.</p> 			<p>    The AW-21 power connector has a terminal block attached to it, so it can be easily connected to a pair of wires to extend the length of the connector as needed.</p> 			<p><b>Note: </b>White stripe on the AW-21 goes to Positive + !</p> 		</div>",,0,assets/images/products/accessories/aw-21/aw-21_1_500x375_thumbnail.jpg,assets/images/products/Accessories/AW-21/AW-21_1_500x375.jpg,assets/images/products/Accessories/AW-21/AW-21_2_500x375.jpg,assets/images/products/Accessories/AW-21/AW-21_3_500x426.jpg,,,,,0,Barrel Power Connector connects to camera and pre-made cable power connectors,Terminal block for easy connection to 18 GA power wires.  This adapter will allow you to connect to your CCTV camera 2.1mm barrel power connector,2.1mm barrel connector for easy plug in to any CCTV camera or IP Camera's aux power connector,,2.1mm Barrel Power Connector with terminal block for CCTV and IP cameras,"<META NAME=""DESCRIPTION"" CONTENT=""Aw-21 2.1mm Barrel Power connectors for use with security cameras and low-voltage devices.  These connectors plug into most CCTV, IP and HDSDI cameras""> <META NAME=""ABSTRACT"" CONTENT=""2.1mm Barrel connector for use with CCTV cameras, HDSDI and IP cams""> <META NAME=""KEYWORDS"" CONTENT=""AW-21, 2.1mm, barrel connector, power connector, dc power""> ",,,0,0,,0,,0,0,0,0,0,0,0,Michael,1/12/2016 15:29,,,,,,,,,,,,,,0,,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,0,,0,0,Orders over $200 Ship FREE!,,,0,0,0,0,0,0,barrel-power-connector,0,,,
27,AW-21-10,10-Pack 2.1mm Female Barrel power connector w/terminal block,Accessories/Connectors,AW-21-10,,,0,9.5,9.5,0,9.5,0,95,0,,0.3,1,0,3/23/2015,,"<div class=desc> 			<h2>Description</h2> 			<p>The AW-21-10 is a 10 pack of the AW-21 2.1mm&nbsp;Barrel&nbsp;Power connectors. &nbsp;This bulk pack is great for installers, or people with a large number of cameras to install.  </p> 			<p>The AW-21 2.1mm Barrel power connector is used to terminate the power wires from a bulk spool to allow connection to a standard security camera power input. One of these connectors should be used for each camera when bulk RG-59 siamese power/video cable is used.</p> 			<p>    These connectors are also employed when using a multi-camera power box with pre-made cables, this connector will attach to the power box, then plug into the pre-made power/video cables.</p> 			<p>    The AW-21 power connector has a terminal block attached to it, so it can be easily connected to a pair of wires to extend the length of the connector as needed.</p> 			<p><b>Note: </b>White stripe on the AW-21 goes to Positive + !</p> 		</div>",,0,assets/images/products/accessories/aw-21/aw-21-10_1_500x375_thumbnail.jpg,assets/images/products/Accessories/AW-21/AW-21-10_1_500x375.jpg,assets/images/products/Accessories/AW-21/AW-21_1_500x375.jpg,assets/images/products/Accessories/AW-21/AW-21_3_500x426.jpg,assets/images/products/Accessories/AW-21/AW-21_2_500x375.jpg,,,,0,10-Pack of Barrel Power Connectors for installation,Pack of 10 x 2.1mm Barrel Power connectors to plug into your camera,2.1mm barrel connector for easy plug in to any CCTV camera or IP Camera's aux power connector,Terminal block for easy connection to 18GA power cables,10 Pack - 2.1mm Barrel Power connectors for security cameras,"<META NAME=""DESCRIPTION"" CONTENT=""10 Pack AW-21 2.1mm Barrel Power connectors for use with security cameras and other low voltage devices.  These are compatible with most IP, HDSDI ""> <META NAME=""ABSTRACT"" CONTENT=""10 Pack of BNC power connectors for security cameras.""> <META NAME=""KEYWORDS"" CONTENT=""2.1mm, barrel, power connector, 10 pack, bulk, aw-21-10""> ",,,0,0,,0,,0,0,0,0,0,0,0,Michael,1/20/2021 13:12,,,,,,,,,,,,,,0,,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,0,,0,0,Orders over $200 Ship FREE!,,,0,0,0,0,0,0,10pk-barrel-power-connector,0,,,
28,AW-21M,2.1mm Male CCTV Barrel power connector,Accessories/Connectors,AW-21M,,,0,1.5,1.5,0,1.5,0,280,0,,0.1,1,0,3/23/2015,,"<div class=desc> 			<h2>Description</h2> 			<p>&nbsp;&nbsp;&nbsp;The AW-21M 2.1mm Barrel male power connector is used to terminate the power wires from a bulk spool to allow connection to a standard security camera power supply on the head end. One of these connectors should be used for each camera when bulk RG-59 siamese power/video cable is used with standard individual style power adapters.</p> 			<p>These connectors are the same connector found built in to the cables for most CCTV security cameras, so they can also be used to repair defective camera cables to replace the connector on the camera..</p> 			<p>The AW-21M power connector is stripped and tinned to make it easy to splice onto any pair of power wires, use with any terminal block and wire to extend the connection as needed.</p> 			<p><b>Note: </b>White stripe on the AW-21M goes to Positive + !</p> 		</div>",,0,assets/images/products/accessories/aw-21m/aw-21m_1_500x375_thumbnail.jpg,assets/images/products/Accessories/AW-21M/AW-21M_1_500x375.jpg,assets/images/products/Accessories/AW-21M/AW-21M_2_500x375.jpg,assets/images/products/Accessories/AW-21M/AW-21M_3_500x375.jpg,,,,,0,2.1mm Barrel Power Connector (M) lets you connect individual power adapters to bulk cabling,"2.1mm Barrel Male connector, great for adapting power supplies to bare wire 18 GA cables",White Stripe + Stripped and Tinned Connectors,,Male 2.1mm Barrel Power Connector,"<META NAME=""DESCRIPTION"" CONTENT=""AW-21M - Male 2.1mm Barrel Power Connector for Low Voltage and Security Cameras""> <META NAME=""ABSTRACT"" CONTENT=""2.1mm Male Barrel Connector with leads for security camera installs""> <META NAME=""KEYWORDS"" CONTENT=""aw-21m, male, barrel, power connector, dc power""> ",,,0,0,,0,,0,0,0,0,0,0,0,Michael,1/12/2016 15:39,,,,,,,,,,,,,,0,,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,0,,0,0,Orders over $200 Ship FREE!,,,0,0,0,0,0,0,male-barrel-power-connector,0,,,
29,AW-21M-10,10-Pack of 2.1mm Male CCTV Barrel power connector,Accessories/Connectors,AW-21M-10,,,0,9.5,9.5,0,9.5,0,98,0,,0.3,1,0,3/23/2015,,"<div class=desc> 			<h2>Description</h2> 			<p>The AW-21M-10 is a 10 pack of AW-21M male barrel power connectors, which is great for when you have multiple cameras to install or repair.</p> 			<p>&nbsp;&nbsp;&nbsp;The AW-21M 2.1mm Barrel male power connector is used to terminate the power wires from a bulk spool to allow connection to a standard security camera power supply on the head end. One of these connectors should be used for each camera when bulk RG-59 siamese power/video cable is used with standard individual style power adapters.</p> 			<p>These connectors are the same connector found built in to the cables for most CCTV security cameras, so they can also be used to repair defective camera cables to replace the connector on the camera..</p> 			<p>The AW-21M power connector is stripped and tinned to make it easy to splice onto any pair of power wires, use with any terminal block and wire to extend the connection as needed.</p> 			<p><b>Note: </b>White stripe on the AW-21M goes to Positive + !</p> 		</div>",,0,assets/images/products/accessories/aw-21m/aw-21m-10_1_500x375_thumbnail.jpg,assets/images/products/Accessories/AW-21M/AW-21M-10_1_500x375.jpg,assets/images/products/Accessories/AW-21M/AW-21M_1_500x375.jpg,assets/images/products/Accessories/AW-21M/AW-21M_3_500x375.jpg,assets/images/products/Accessories/AW-21M/AW-21M_2_500x375.jpg,,,,0,10-Pack of Barrel Power Connectors (M),,,,10 Pack - Male 2.1mm Barrel Power Connectors,"<META NAME=""DESCRIPTION"" CONTENT=""10-Pack of Male Barrel power connectors for security cameras and other low-voltage devices""> <META NAME=""ABSTRACT"" CONTENT=""10-pack of barrel power connectors for cctv security cameras""> <META NAME=""KEYWORDS"" CONTENT=""barrel, power connector, dc power, connector, aw-21m-10""> ",,,0,0,,0,,0,0,0,0,0,0,0,Michael,3/21/2022 12:06,,,,,,,,,,,,,,0,,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,0,,0,0,Orders over $200 Ship FREE!,,,0,0,0,0,0,0,10pk-male-barrel-power-connector,0,,,
32,BNC-C-59,BNC Weatherproof Compression Fittings for RG-59 Coaxial Cable,Accessories/Connectors,BNC-C-59,,,0,2,2,0,2,0,565,0,,0.02,1,0,3/23/2015,,"		<div class=""desc""> 			<h2>Description</h2> 			<p>The BNC-C-59 BNC compression connectors are the ultimate in termination for security cameras using&nbsp;RG-59 coaxial cables. &nbsp;These connectors are a 2-pc style connector, which compresses securely onto the RG-59 coaxial cable.  Once the connectors are properly installed, they provide 100 lb test strength.</p> 			<p>This is the most secure type of BNC connector for making your own security camera cables with coaxial cables.  For best termination, use our CT-10 compression tool for compressing onto your cables.</p> 			<p></p> 		</div> ",,0,assets/images/products/accessories/bnc-c-59/bnc-c-59_1_400x300_thumbnail.jpg,assets/images/products/accessories/BNC-C-59/BNC-C-59_1_400x300.jpg,,,,,,,0,BNC Compression connector - For the Best RG-59 termination ,,,,Compression Style BNC connector for RG-59 Coaxial Cable - for HD-SDI and Analog Cameras,"<META NAME=""DESCRIPTION"" CONTENT=""These BNC compression style connectors are ideal for creating your own cctv cables for analog or HDSDI Cameras.  weatherproof connectors for outdoor""> <META NAME=""ABSTRACT"" CONTENT=""Outdoor weatherproof compression BNC connectors for analog and HDSDI""> <META NAME=""KEYWORDS"" CONTENT=""compression bnc, bnc connector, weatherproof connector, BNC-C-59""> ",,,0,0,,0,,0,0,0,0,0,0,0,Michael,1/12/2016 15:47,,,,,,,,,,,,,,0,,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,0,,0,0,Orders over $200 Ship FREE!,,,0,0,0,0,0,0,bnc-compression-connector-rg59,0,,,
33,BNC-C-59-10,10-Pack BNC Weatherproof Compression Fittings for RG-59 Coaxial Cable,Accessories/Connectors,BNC-C-59-10,,,0,17.5,17.5,0,17.5,0,33,0,,1,1,0,3/23/2015,,"		<div class=desc> 			<h2>Description</h2> 			<p>BNC-C-59-19 is a 10-pack of BNC compression connectors, which is great for CCTV system installers, or customers who will be using RG-59 coaxial cable for installing multiple security cameras in their home or business.</p> 			<p>The BNC-C-59 BNC compression connectors are the ultimate in termination for security cameras using&nbsp;RG-59 coaxial cables. &nbsp;These connectors are a 2-pc style connector, which compresses securely onto the RG-59 coaxial cable.  Once the connectors are properly installed, they provide 100 lb test strength.</p> 			<p>This is the most secure type of BNC connector for making your own security camera cables with coaxial cables.  For best termination, use our CT-10 compression tool for compressing onto your cables.</p> 			<p></p> 		</div>",,0,assets/images/products/accessories/bnc-c-59/bnc-c-59-10_1_400x300_thumbnail.jpg,assets/images/products/accessories/BNC-C-59/BNC-C-59-10_1_400x300.jpg,,,,,,,0,10-Pack of BNC compression Connectors,,,,10 Pack BNC Compression Connectors - for HD-SDI and Analog CCTV cameras,"<META NAME=""DESCRIPTION"" CONTENT=""This 10 pack of BNC Compression connectors allows you to make your own weatherproof CCTV cables for analog or HDSDI Cameras""> <META NAME=""ABSTRACT"" CONTENT=""10-Pack BNC connectors compression for analog or HDSDI cameras""> <META NAME=""KEYWORDS"" CONTENT=""BNC compression connector, analog compression, HDSDI compression, BNC-C-59-10""> ",,,0,0,,0,,0,0,0,0,0,0,0,Michael,1/12/2016 15:45,,,,,,,,,,,,,,0,,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,0,,0,0,Orders over $200 Ship FREE!,,,0,0,0,0,0,0,10pk-bnc-compression-connector-rg59,0,,,
34,BNCRCA-1,BNC to RCA adapter,Accessories/Connectors,BNCRCA-1,,,0,0.95,0.95,0,0.95,0,497,0,,0.02,1,0,3/23/2015,,"		<div class=""desc""> 			<h2>Description</h2> 			<p>BNCRCA-1 is a BNC to RCA adapter which is useful for utilizing RCA style cables to run CCTV cameras, as well as adapting from RCA Male to BNC male.  These connectors are very useful when installing a security camera system at your home or business, as the cables provided with CCTV systems do not always have the correct termination.</p> 			<p>These connectors are also prominently used when connecting RCA style microphones to a DVR that has BNC audio connectors.</p> 			<p></p> 		</div> ",,0,assets/images/products/accessories/bnc-rca-1/bncrca1_300x225_thumbnail.jpg,assets/images/products/accessories/bnc-rca-1/bncrca1_300x225.jpg,,,,,,,0,BNC to RCA adapter,,,,BNC to RCA Adapter adapts RCA video cables to a BNC connector,"<META NAME=""DESCRIPTION"" CONTENT=""BNCRCA-1 BNC Male to RCA Female adapter to provide ability to use RCA style cameras with a BNC video cable.""> <META NAME=""ABSTRACT"" CONTENT=""BNC Male to RCA female adapter for CCTV security cameras and mics""> <META NAME=""KEYWORDS"" CONTENT=""BNC to RCA adapter, BNCRCA-1, BNC adapter, RCA Adapter""> ",,,0,0,,0,,0,0,0,0,0,0,0,Michael,8/31/2020 18:01,,,,,,,,,,,,,,0,,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,0,,0,0,Orders over $200 Ship FREE!,,,0,0,0,0,0,0,bnc-rca-adapter,0,,,
35,BNCRCA-2,BNC (F) to RCA (M) Adapter,Accessories/Connectors,BNCRCA-2,,,0,0.95,0.95,0,0.95,0,461,0,,0.02,1,0,3/23/2015,,"		<div class=""desc""> 			<h2>Description</h2> 			<p>BNCRCA-2 is a BNC female to RCA male adapter which is useful for utilizing BNC style cables for running cameras or microphones that require an&nbsp;RCA style connection.  These connectors are very useful when installing a security camera system at your home or business, as the cables provided with CCTV systems do not always have the correct termination.</p> 		</div> ",,0,assets/images/products/accessories/bnc-rca-2/bnc-rca-2_1_250x250_thumbnail.jpg,assets/images/products/Accessories/BNC-RCA-2/BNC-RCA-2_1_250x250.jpg,,,,,,,0,BNC to RCA adapter,,,,BNC to RCA Adapter,"<META NAME=""DESCRIPTION"" CONTENT=""BNC Female to RCA Male adapter allows you to use a BNC cable for RCA inputs on cameras or microphones.""> <META NAME=""ABSTRACT"" CONTENT=""BNC Female to RCA male adapter for microphones and cctv cameras""> <META NAME=""KEYWORDS"" CONTENT=""BNCRCA-2, bnc to rca adapter, bnc adapter, rca adapter""> ",,,0,0,,0,,0,0,0,0,0,0,0,Michael,1/12/2016 15:48,,,,,,,,,,,,,,0,,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,0,,0,0,Orders over $200 Ship FREE!,,,0,0,0,0,0,0,bnc-rca-adapter-2,0,,,
