catalogid,id,name,categories,mfgid,manufacturer,distributor,cost,price,price2,price3,saleprice,onsale,stock,stock_alert,display_stock,weight,minimumorder,maximumorder,date_created,description,extended_description,keywords,sorting,thumbnail,image1,image2,image3,image4,realmedia,related,accessories,shipcost,imagecaption1,imagecaption2,imagecaption3,imagecaption4,title,metatags,displaytext,eproduct_password,eproduct_random,eproduct_expire,eproduct_path,eproduct_serial,eproduct_instructions,homespecial,categoryspecial,hide,free_shipping,nontax,notforsale,giftcertificate,userid,last_update,extra_field_1,extra_field_2,extra_field_3,extra_field_4,extra_field_5,extra_field_6,extra_field_7,extra_field_8,extra_field_9,extra_field_10,extra_field_11,extra_field_12,extra_field_13,usecatoptions,qtyoptions,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,hide_1,hide_2,hide_3,hide_4,hide_5,hide_6,hide_7,hide_8,hide_9,hide_10,minorderpkg,listing_displaytype,show_out_stock,pricing_groupopt,qtydiscount_opt,loginlevel,redirectto,accessgroup,self_ship,tax_code,eproduct_reuseserial,nonsearchable,instock_message,outofstock_message,backorder_message,height,width,depth,reward_points,reward_disable,reward_redeem,filename,fractional_qty,gtin,canonical_url,link
15,CD-5261,Hi-Res 420TVL Outdoor Bullet Style Camera,Cameras/CCTV Cameras (Analog),CD-5261,Platinum CCTV,,0,65,65,0,65,1,-1,0,,1.2,1,0,3/23/2015,,"	<div class=""desc""> 			<h2>Description</h2> 			<p>&nbsp;&nbsp;&nbsp;This small bullet camera is great for home or business cctv camera systems. Delivering 420TVL video with infrared night vision, this camera is a great choice. This bullet style camera can easily mounted on any ceiling or wall inside or outside your business or home to provide good video coverage.</p> 			<p>&nbsp;&nbsp;&nbsp;Protect your home or business in style with this bullet camera, with infrared night vision up to 65' in complete darkness. Use this camera to build a new camera system, or to replace existing cameras. These cameras can be plugged into any existing analog DVR and are a great upgrade for systems with cheaper, lower resolution cameras (Lorex, NightOwl, etc).</p> 			<h3>Features</h3> 			<p>&nbsp;&nbsp;&nbsp;The CD-5261 Bullet Camera.</p> 			<ul> 				<li><span style=""font-weight: bold;"">420TVL Sony&reg; CCD&nbsp;Image Sensor</span> 				</li><li><span style=""font-weight: bold;"">Wide 90° viewing angle</span> 				</li><li><span style=""font-weight: bold;"">Infrared night vision</span> up to 65' in pitch black conditions 				</li><li>Small Weatherproof Bullet Housing				</li><li>3-axis adjustment allows mounting on ceiling or wall  				</li><li>12VDC&nbsp;Power  				</li><li>Works with any traditional Standalone or PC Based DVR  			</li></ul> 		</div>       ","outdoor, infrared, ir, bullet, CD-5261, weather proof, analog, 420 TVL",0,assets/images/products/cameras/cd-5261/cd-5261_5_500x375_thumbnail.jpg,assets/images/products/cameras/cd-5261/cd-5261_5_500x375.jpg,assets/images/products/cameras/cd-5261/cd-5261_1_500x375.jpg,assets/images/products/cameras/cd-5261/cd-5261_2_500x375.jpg,assets/images/products/cameras/cd-5261/cd-5261_3_500x375.jpg,,,,0,Hi-Res 420TVL Outdoor Home or Business Security Camera,,,,Outdoor 420 TVL Night Vision Infrared Bullet Analog Security Camera,"<META NAME=""DESCRIPTION"" CONTENT=""Our CD-5261 outdoor infrared bullet camera is a great choice for analog security camera replacements for older cameras such as QSee, Lorex, NightOwl or other cameras.""> <META NAME=""ABSTRACT"" CONTENT=""Replace older lower resolution cameras with this IR outdoor bullet cam""> <META NAME=""KEYWORDS"" CONTENT=""CD-5261, outdoor, infrared, IR, bullet, analog, security camera""> ",,,0,0,,0,,0,0,0,0,0,0,0,James,7/25/2018 12:41,,,,,,,,,,,,,,0,,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,-1,,,0,,0,0,Orders over $200 Ship FREE!,Out Of Stock - Discontinued ,,6,4,3,0,0,0,outdoor-bullet-camera,0,,,
16,CD-7326,Hi-Res Covert Motion Detector Style Camera,Cameras/CCTV Cameras (Analog),CD-7326,Platinum CCTV,,0,85,85,0,65,1,5,0,,0.5,1,0,3/23/2015,Covert Hi-Res 700 TVL Hidden Motion Detector Style Camera with wide angle lens,"		<div class=desc> 			<h2>Description</h2> 			<p>&nbsp;&nbsp;&nbsp;When you need to see what is happening inside your home or business, but don't want someone to know they are being recorded, the CD-7326 camera is a great choice.  This camera is hidden in a motion detector style housing, so it just looks like an alarm system.  This traditional style CCTV camera will plug into any traditional standalone or PC-based DVR.</p> 			<p>&nbsp;&nbsp;&nbsp;It is amazing what you catch on video when you have a hidden camera in your home or business, from healthcare workers or nannies misbehaving, to kids throwing parties and employees 'working'.  Sometimes having a hidden camera or two helps ensure things are going properly and let you take care of them when they don't.</p> 			<h3>Features</h3> 			<p>&nbsp;&nbsp;&nbsp;The CD-7326 Hidden/Covert Motion Detector Style Camera.</p> 			<ul> 				<li><b>700TVL Sony&reg; CCD&nbsp;Image Sensor</b> 				<li><b>Wide 90&deg; viewing angle</b> 				<li>Hidden Pinhole Lens 				<li>Camera looks like an alarm system motion detector 				<li><b>Low-Light night vision with Sense-up</b> 				<li>Adjustable wall-mount bracket for easy angle adjustment 				<li>12VDC&nbsp;Power  				<li>Works with any traditional Standalone or PC Based DVR  			</ul> 		</div>","indoor, hidden, covert, spy, CD-7326, 700TVL, motion detector, analog, security camera",0,assets/images/products/cameras/cd-7226/cd-7226_1_150x150_thumbnail.jpg,assets/images/products/cameras/cd-7226/cd-7226_1_150x150.jpg,assets/images/Products/Cameras/CD-7226/CD-7226_2_500x375.jpg,,,,,,0,Hidden Covert Motion Detector Style Camera,This camera blends into any business or home environment,,,High Resolution Indoor Covert Motion Detector Style camera with 700TVL,"<META NAME=""DESCRIPTION"" CONTENT=""The CD-7326 indoor covert motion detector style camera is a great choice for hidden indoor recording.  This versatile camera will plug into any DVR recorder, even recorders from Q-see, lorex, NightOwl or more.""> <META NAME=""ABSTRACT"" CONTENT=""Record what happens in your home or business covertly ""> <META NAME=""KEYWORDS"" CONTENT=""CD-7326, 700 TVL, motion detector, analog, security camera, surveillance, home, business""> ",,,0,0,,0,,0,0,0,0,0,0,0,Michael,6/6/2018 15:25,,,,,,,,,,,,,,0,,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,,,0,,0,0,Orders over $200 Ship FREE!,,,5,5,5,0,0,0,700tvl-motion-detector-analog-camera,0,,,
17,CD-7360,Hi-Res Infrared Covert Motion Detector Style Camera,Cameras/CCTV Cameras (Analog),CD-7360,Platinum CCTV,,0,125,125,0,85,1,25,0,,0.5,1,0,3/23/2015,Covert Hi-Res 700 TVL Hidden Motion Detector Style Camera with wide angle lens and IR Nightvision,"		<div class=desc> 			<h2>Description</h2> 			<p>&nbsp;&nbsp;&nbsp;This innovative hidden camera not only provides hidden video coverage for your home or business by blending in as a motion detector, but it also provides infrared night vision in complete darkness.  This is unique to the CD-7360 camera, as most hidden cameras will view in daylight only.</p> 			<p>&nbsp;&nbsp;&nbsp;It is amazing what you catch on video when you have a hidden camera in your home or business, from healthcare workers or nannies misbehaving, to kids throwing parties and employees 'working'.  Sometimes having a hidden camera or two helps ensure things are going properly and let you take care of them when they don't.</p> 			<h3>Features</h3> 			<p>&nbsp;&nbsp;&nbsp;The CD-7360 Hidden/Covert Infrared Motion Detector Style Camera.</p> 			<ul> 				<li><b>700TVL Sony&reg; CCD&nbsp;Image Sensor</b> 				<li><b>Wide 90&deg; viewing angle</b> 				<li><b>Infrared Night Vision up to 20' in pitch black</b> 				<li>Hidden Pinhole Lens  				<li>Camera looks like an alarm system motion detector  				<li>Adjustable wall-mount bracket for easy angle adjustment  				<li>12VDC&nbsp;Power  				<li>Works with any traditional Standalone or PC Based DVR  			</ul> 		</div>","indoor, covert, hidden, infrared, ir, bullet, CD-7360, motion detector, analog, ",0,assets/images/products/cameras/cd-7226/cd-7226_1_400x400_thumbnail.jpg,assets/images/products/cameras/cd-7226/cd-7226_1_400x400.jpg,assets/images/Products/Cameras/CD-7226/CD-7226_2_500x375.jpg,,,,,,0,Hi-Res Covert Infrared Motion Detector Style Camera,This Night Vision Infrared Motion Detector Style Camera blends into any home or business,,,Hi-Res Covert Motion Detector Camera with Infrared Night Vision,"<META NAME=""DESCRIPTION"" CONTENT=""This unique indoor covert camera is ideal for any home or business installation where you need to record what happens during the daytime and at night.  This motion detector style camera delivers great quality video recording during the day and night.""> <META NAME=""ABSTRACT"" CONTENT=""Infrared night vision covert motion detector style camera""> <META NAME=""KEYWORDS"" CONTENT=""analog, CD-7360, hidden, covert, motion detector, security camera, infrared, IR""> ",,,0,0,,0,,0,0,0,0,0,0,0,Michael,6/6/2018 15:15,,,,,,,,,,,,,,0,,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,,,0,,0,0,Orders over $200 Ship FREE!,,,5,5,5,0,0,0,700tvl-motion-detector-analog-camera-infrared,0,,,
18,CD-7402,Hi-Res Covert Smoke Detector Camera,Cameras/CCTV Cameras (Analog),CD-7402,Platinum CCTV,,0,155,155,0,135,1,-11,0,,0.7,1,0,3/23/2015,"This high resolution camera is hidden inside a functional smoke detector housing, allowing you to hide a home or business camera almost anywhere.","		<div class=""desc""> 			<h2>Description</h2> 			<p>&nbsp;&nbsp;&nbsp;Want to see what happens when you aren't around?  The CD-7402 Smoke Detector style camera allows you to do just that.  This traditional CCTV camera plugs into any DVR and provides you with video while remaining hidden inside a smoke detector style housing.</p> 			<p>&nbsp;&nbsp;&nbsp;Now you can see and hear what happens in your home or business by plugging this hidden camera into your DVR.  45° downward lens direction combined with a wide angle view allows you to get great coverage of any room.  Sense-up technology provides low light video for dimly lit environments.</p> 			<h3>Features</h3> 			<p>&nbsp;&nbsp;&nbsp;The CD-7402 Hidden/Covert Smoke Detector Style Camera.</p> 			<ul> 				<li><span style=""font-weight: bold;"">520 TVL Sony&reg; CCD&nbsp;Image Sensor</span> 				</li><li><span style=""font-weight: bold;"">Wide 90° viewing angle</span> 				</li><li><span style=""font-weight: bold;"">Low Light Night Vision with Sense-up</span> 				</li><li>Hidden Pinhole Lens  				</li><li>Camera looks like an standard smoke detector 				</li><li>12VDC&nbsp;Power  				</li><li>Works with any traditional Standalone or PC Based DVR  			</li></ul> 		</div>  ","indoor, covert, hidden, CD-7402, smoke detector, analog, audio ",0,assets/images/products/cameras/cd-7402/cd-7402_1_500x375_thumbnail.jpg,assets/images/products/cameras/cd-7402/cd-7402_1_500x375.jpg,assets/images/Products/Cameras/CD-7402/CD-7402_3_500x375.jpg,assets/images/Products/Cameras/CD-7402/CD-7402_2_500x375.jpg,assets/images/Products/Cameras/CD-7402/CD-7402_5_500x375.jpg,,,,0,The CD-7402 Smoke Detector Style Camera delivers great video and audio hidden in a motion detector housing,"Mount this hidden camera anywhere, no one will know you are recording",Attractive and common functional smoke detector with a hidden camera and microphone,Watch your home or business without even knowing,Hidden Smoke Detector Style Analog camera with audio and video,"<META NAME=""DESCRIPTION"" CONTENT=""Record what is happening at your home or business in style with this functional smoke detector style hidden covert camera with audio.  These cameras view through a small pinhole in the camera and can be connected to any analog DVR to record""> <META NAME=""ABSTRACT"" CONTENT=""Record what happens in home or business with smoke detector camera""> <META NAME=""KEYWORDS"" CONTENT=""smoke detector, hidden camera, covert camera, spy camera, analog, cctv, surveillance""> ",,,0,0,,0,,0,0,0,0,0,0,0,Michael,6/6/2018 15:12,520 TVL Sony? CCD Image Sensor,,Low Light Night Vision with Sense-Up,12 VDC,,,,,,,,,,0,,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,-1,,,0,,0,0,Orders over $200 Ship FREE!,,,8,8,4,0,0,0,analog-smoke-detector-hidden-camera,0,,,
19,CD-8161,Hi-Res Outdoor 420TVL Infrared Armor Dome Wide Angle Camera,Cameras/CCTV Cameras (Analog),CD-8161,Platinum CCTV,,0,75,75,0,65,1,22,0,,1.2,1,0,3/23/2015,This 420TVL Indoor/Outdoor Infrared Armor Dome camera provides great quality color video and infrared night vision up to 65' in pitch black conditions.,"	<div class=""desc""> 			<h2>Description</h2> 			<p>&nbsp;&nbsp;&nbsp;This miniature armor dome camera is great for analog home or business cctv camera systems.  Delivering 420TVL analog video with infrared night vision, this camera is a trusted workhorse.  The versatile aluminum housing can be ceiling or wall mounted, providing easy installation virtually anywhere.  </p> 			<p>&nbsp;&nbsp;&nbsp;This camera is ideal for home and business alike, with easy wall or ceiling mount, infrared night vision up to 65' in pitch black and sharp 420TVL analog video quality.  Use this camera to build a new camera system, or to replace existing cameras.  These cameras can be plugged into any existing analog DVR and are a great upgrade for systems with cheaper, lower resolution cameras (Lorex, NightOwl, etc).</p> 			<h3>Features</h3> 			<p>&nbsp;&nbsp;&nbsp;The CD-8161 Armor Dome Camera.</p> 			<ul> 				<li><span style=""font-weight: bold;"">420TVL Sony&reg; CCD&nbsp;Image Sensor</span> 				</li><li><span style=""font-weight: bold;"">Wide 90° viewing angle</span> 				</li><li><span style=""font-weight: bold;"">Infrared night vision</span> up to 65' in pitch black conditions 				</li><li>Small Armor Dome Housing 				</li><li>3-axis adjustment allows mounting on ceiling or wall  				</li><li>12VDC&nbsp;Power 				</li><li>Weatherproof housing for installation indoors or outdoors  				</li><li>Works with any traditional Standalone or PC Based DVR 			</li></ul> 		</div>     ","outdoor, infrared, ir, dome, CD-8322, weather proof, analog, armor dome,CD-8161",0,assets/images/products/cameras/cd-8161/cd-8161_1_500x375_thumbnail.jpg,assets/images/products/cameras/cd-8161/cd-8161_1_500x375.jpg,assets/images/Products/Cameras/CD-8161/CD-8161_2_500x375.jpg,assets/images/Products/Cameras/CD-8161/CD-8161_3_500x375.jpg,assets/images/Products/Cameras/CD-8161/CD-8161_4_500x375.jpg,,,,0,Compact Outdoor style armor dome camera with wide angle lens and 420 TVL Sony CCD Image Sensor,This outdoor camera has infrared LEDs for night vision up to 65' away in pitch black conditions,This Armor dome security camera is easy to install,Compact design for easy mounting on walls or ceilings,Outdoor 420TVL Armor Dome Mini Analog CCTV Cameras,"<META NAME=""DESCRIPTION"" CONTENT=""These powerhouse mini cameras have a wide-angle lens and a 420TVL Sony CCD image sensor to deliver great picture quality with excellent infrared night vision.  Great replacement for older cameras from Q-See, Lorex, NightOwl and more""> <META NAME=""ABSTRACT"" CONTENT=""Hi-Res 420TVL Outdoor Armor Dome CCTV cameras with IR""> <META NAME=""KEYWORDS"" CONTENT=""IR, infrared, armor dome, outdoor, weatherproof, CD-8161, CD-8322, night vision"">",,,0,0,,0,,0,0,0,0,0,0,0,James,7/25/2018 14:00,,,,,,,,,,,,,,0,,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,,,0,,0,0,Orders over $200 Ship FREE!,,,6,4,3,0,0,0,420tvl-outdoor-armor-dome-analog-cameras,0,,,
20,CD-9362,Long-Range Infrared 720 TVL Bullet Camera with Varifocal lens,,CD-9362,Platinum CCTV,,0,235,235,0,175,1,24,0,,2.3,1,0,3/23/2015,"This 720TVL camera provides great quality picture with a Sony? CCD image sensor, and really delivers at night with infrared night vision in complete darkness up to 200 feet away.","	<div class=""desc""> 			<h2>Description</h2> 			<p>&nbsp;&nbsp;&nbsp;When ultimate night vision is required, the CD-9362 camera is the answer. &nbsp;This camera pairs powerful infrared SMART&nbsp;LEDs with a Sony&reg; 720 TVL&nbsp;image sensor to provide night vision in complete darkness up to 200 feet away.  That isn't where the features on this pro-model camera stop though, built-in is a varifocal adjustable lens allowing you to set the zoom and focus of this camera for optimum identification </p> 			<p>&nbsp;&nbsp;&nbsp;The commanding presence of this armored bullet camera lets anyone looking know clearly that they are being watched.  With some of the best night vision in the industry and now with SMART&nbsp;IR&nbsp;technology, these cameras really deliver when the lights go out.  SMART IR&nbsp;technology allows this camera to dim down the IR night vision when someone walks up to the center of the camera, providing best picture quality for both the center of view and surrounding areas.  These cameras can be plugged into any existing analog DVR and are a great upgrade for systems with cheaper, lower resolution cameras (Lorex, NightOwl, etc).</p> 			<h3>Features</h3> 			<p>&nbsp;&nbsp;&nbsp;The CD-9362 Long-Range Night Vision Bullet Camera.</p> 			<ul> 				<li><span style=""font-weight: bold;"">720TVL Sony&reg; CCD&nbsp;Image Sensor</span> 				</li><li><span style=""font-weight: bold;"">100°-30° viewing angle (manual adjustment)</span> 				</li><li>2.8-12 mm varifocal lens 				</li><li><span style=""font-weight: bold;"">Infrared night vision</span> up to 200' in pitch black conditions				</li><li>Armored Bullet Style Camera				</li><li>Wall mount bracket with in-bracket cabling 				</li><li>Optional Wall base-plate helps protect the cable connections 				</li><li>12VDC&nbsp;Power 				</li><li>Weatherproof housing for installation indoors or outdoors  				</li><li>Works with any traditional Standalone or PC Based DVR 			</li></ul> 		</div>     ","outdoor, infrared, ir, bullet, varifocal, long-range, CD-9362, weather proof, analog",0,assets/images/products/cameras/cd-9361/cd-9361_2_500x375_thumbnail.jpg,assets/images/products/cameras/cd-9361/cd-9361_2_500x375.jpg,assets/images/products/cameras/cd-9361/cd-9361_1_500x375.jpg,assets/images/products/cameras/cd-9361/cd-9361_3_500x375.jpg,assets/images/products/cameras/cd-9361/cd-9361_4_500x375.jpg,,,,0,720 TVL Outdoor Long-Range Night Vision Infrared Bullet Camera,"This armored bullet camera is perfect for indoor or outdoor installations, with adjustable mounting bracket and optional wall box (not shown)",Powerful IR LEDs illuminate the area up to 200' away with SMART IR infrared technology,Built-in Adjustable lens allows you to set the zoom and focus between wide 100 degree field of view and 30 degree zoom,Long Range Infrared IR Night vision Bullet Camera,"<META NAME=""DESCRIPTION"" CONTENT=""The CD-9362 is our flagship outdoor IR bullet camera, delivering long-range infrared night vision up to 200 feet even in pitch black conditions. ""> <META NAME=""ABSTRACT"" CONTENT=""Long Range nightvision from an analog bullet style camera.""> <META NAME=""KEYWORDS"" CONTENT=""infrared, IR, night vision, long range, CD-9362, analog, cctv, surveillance, outdoor, weatherproof"">",,,0,0,,0,,0,0,0,0,0,0,0,Michael,10/14/2022 9:33,,,,,,,,,,,,,,0,,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,-1,,,0,,0,0,Ships FREE!,,,13,9,6,0,0,0,720tvl-long-range-ir-bullet-analog-camera,0,,,
21,E-808,Budget 400TVL Indoor/Outdoor Armor Dome Camera,Cameras/CCTV Cameras (Analog),E-808,Platinum CCTV,,0,45,45,0,35,1,36,0,,1.2,1,0,3/23/2015,This camera is a great choice for lower budget home and business security camera installations.  These color cameras provide infrared night vision up to 25' away in complete darkness.,"		<div class=desc> 			<h2>Description</h2> 			<p>&nbsp;&nbsp;&nbsp;The E-808 Budget Armor Dome camera is ideal for lower budget security camera installations. &nbsp;This camera provides color video during the daytime and switches to black and white at night for infrared viewing up to 25' in pitch black conditions. </p> 			<p>&nbsp;&nbsp;&nbsp;This camera has a weatherproof housing, so it can be used indoors or outdoors, with 3-axis mounting you can even mount this camera on the ceiling or wall. Use this camera to build a new camera system, or to replace existing cameras. These cameras can be plugged into any existing analog DVR and are a great upgrade for systems with cheaper, lower resolution cameras (Lorex, NightOwl, etc).</p> 			<h3>Features</h3> 			<p>&nbsp;&nbsp;&nbsp;The E-808 Armor Dome Camera.</p> 			<ul> 				<li><b>400TVL CMOS&nbsp;Image Sensor</b> 				<li><b>Wide 70&deg; viewing angle</b> 				<li><b>Infrared night vision</b> up to 25' in pitch black conditions				<li>Small Armor Dome Housing 				<li>3-axis adjustment allows mounting on ceiling or wall  				<li>12VDC&nbsp;Power 				<li>Weatherproof housing for installation indoors or outdoors  				<li>Works with any traditional Standalone or PC Based DVR 			</ul> 		</div>","outdoor, infrared, ir, armor, dome, E-808, weather proof, analog",0,assets/images/products/cameras/e-808/e-808_1_500x375_thumbnail.jpg,assets/images/products/cameras/e-808/e-808_1_500x375.jpg,,,,,,,0,Budget Indoor/Outdoor Security Camera with Infrared Night Vision,,,,Budget Outdoor Weatherproof CCTV Analog Camera,"<META NAME=""DESCRIPTION"" CONTENT=""This budget E-808 Outdoor Armor Dome security camera lets you upgrade older analog CCTV cameras on a budget.  This camera has Infrared LEDs for night""> <META NAME=""ABSTRACT"" CONTENT=""Infrared Budget CCTV analog security camera for indoor or outdoor""> <META NAME=""KEYWORDS"" CONTENT=""budget, infrared, IR, night vision, analog, cctv camera, security camera""> ",,,0,0,,0,,0,0,0,0,0,0,0,Michael,1/12/2016 15:22,400 TVL CMOS Image Sensor,,Infrared IR Night Vision up to 25' in Pitch Black,12 VDC,,,,,,,,,,0,,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,,,0,,0,0,Orders over $200 Ship FREE!,,,6,4,3,0,0,0,budget-analog-armor-dome,0,,,
24,AC-BNC-59,BNC Crimp Connector for RG-59 Coaxial cable,Accessories/Connectors,AC-BNC-59,,,0,0.95,0.95,0,0.95,0,495,0,,0.02,1,0,3/23/2015,,"<div class=desc> 			<h2>Description</h2> 			<p>&nbsp;&nbsp;&nbsp;This BNC&nbsp;crimp connected is used to terminate RG-59 coaxial cable with a BNC&nbsp;end to use with security cameras.  The 2-piece crimp connector works with any standard RG-59 crimp tool to make a secure connection for your security camera installation.</p> 		</div>",,0,assets/images/products/accessories/ac-bnc/ac-bnc_2_400x335_thumbnail.jpg,assets/images/products/accessories/AC-BNC/AC-BNC_2_400x335.jpg,,,,,,,0,BNC 2 Piece Crimp Connector for RG-59 Coaxial cables,,,,BNC Crimp Connector for RG-59 Coaxial Cable - Used for CCTV cameras,"<META NAME=""DESCRIPTION"" CONTENT=""BNC Crimp Style Connectors make it easy to build your own CCTV camera cables.  These connectors work with RG-59 Coaxial Cable""> <META NAME=""ABSTRACT"" CONTENT=""Crimp connectors to build CCTV camera cables for analog security cams""> <META NAME=""KEYWORDS"" CONTENT=""AC-BNC-59, Crimp Connector, bnc, RG-59, coaxial, crimp""> ",,,0,0,,0,,0,0,0,0,0,0,0,Michael,1/12/2016 15:26,,,,,,,,,,,,,,0,,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,0,,0,0,Orders over $200 Ship FREE!,,,0,0,0,0,0,0,bnc-crimp-connector-rg59,0,,,
25,AC-BNC-T59,BNC TWIST-ON Connector for RG-59 Coaxial cable,Accessories/Connectors,AC-BNC-T59,,,0,0.95,0.95,0,0.95,0,423,0,,0.04,1,0,3/23/2015,,"<div class=""desc""> 			<h2>Description</h2> 			<p>&nbsp;&nbsp;&nbsp;The AC-BNC-T59 is a twist-on style BNC&nbsp;connector for RG-59 coaxial and siamesed cables to terminate it for use with security cameras and HD-SDI&nbsp;Cameras.  The Twist-on style connectors require no special tools at all, they simply twist on to the stripped coax cable.  </p> 			<p>   Since these connectors do not get crimped or compressed during installation, they can be reused by simply twisting them off and then twisting them back on again.</p> 		</div> ",,0,assets/images/products/accessories/ac-bnc-t59/acbnct59_1_400x373_thumbnail.jpg,assets/images/products/Accessories/AC-BNC-T59/ACBNCT59_1_400x373.jpg,,,,,,,0,BNC Twist on Connector for RG-59 Coaxial Cable (Easy to Install),,,,Twist-on BNC connector for RG-59 Coaxial Cable - for Analog CCTV cameras,"<META NAME=""DESCRIPTION"" CONTENT=""Twist-On reusable BNC connectors let you easily build CCTV analog cables with no tools.  These connectors are easy to use and great for video""> <META NAME=""ABSTRACT"" CONTENT=""Twist-on bnc connectors let you build your security camera cables""> <META NAME=""KEYWORDS"" CONTENT=""twist on, bnc, cctv connectors, rg-59, coaxial, AC-BNC-T59""> ",,,0,0,,0,,0,0,0,0,0,0,0,Michael,3/21/2022 11:59,,,,,,,,,,,,,,0,,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,0,,0,0,Orders over $200 Ship FREE!,,,0,0,0,0,0,0,bnc-twist-connector-rg59,0,,,
26,AW-21,2.1mm Female CCTV Barrel power connector w/terminal block,Accessories/Connectors,AW-21,,,0,1.5,1.5,0,1.5,0,514,0,,0.1,1,0,3/23/2015,,"<div class=desc> 			<h2>Description</h2> 			<p>&nbsp;&nbsp;&nbsp;The AW-21 2.1mm Barrel power connector is used to terminate the power wires from a bulk spool to allow connection to a standard security camera power input.  One of these connectors should be used for each camera when bulk RG-59 siamese power/video cable is used.</p> 			<p>    These connectors are also employed when using a multi-camera power box with pre-made cables, this connector will attach to the power box, then plug into the pre-made power/video cables.</p> 			<p>    The AW-21 power connector has a terminal block attached to it, so it can be easily connected to a pair of wires to extend the length of the connector as needed.</p> 			<p><b>Note: </b>White stripe on the AW-21 goes to Positive + !</p> 		</div>",,0,assets/images/products/accessories/aw-21/aw-21_1_500x375_thumbnail.jpg,assets/images/products/Accessories/AW-21/AW-21_1_500x375.jpg,assets/images/products/Accessories/AW-21/AW-21_2_500x375.jpg,assets/images/products/Accessories/AW-21/AW-21_3_500x426.jpg,,,,,0,Barrel Power Connector connects to camera and pre-made cable power connectors,Terminal block for easy connection to 18 GA power wires.  This adapter will allow you to connect to your CCTV camera 2.1mm barrel power connector,2.1mm barrel connector for easy plug in to any CCTV camera or IP Camera's aux power connector,,2.1mm Barrel Power Connector with terminal block for CCTV and IP cameras,"<META NAME=""DESCRIPTION"" CONTENT=""Aw-21 2.1mm Barrel Power connectors for use with security cameras and low-voltage devices.  These connectors plug into most CCTV, IP and HDSDI cameras""> <META NAME=""ABSTRACT"" CONTENT=""2.1mm Barrel connector for use with CCTV cameras, HDSDI and IP cams""> <META NAME=""KEYWORDS"" CONTENT=""AW-21, 2.1mm, barrel connector, power connector, dc power""> ",,,0,0,,0,,0,0,0,0,0,0,0,Michael,1/12/2016 15:29,,,,,,,,,,,,,,0,,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,,0,,0,0,Orders over $200 Ship FREE!,,,0,0,0,0,0,0,barrel-power-connector,0,,,
